id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
699927261578912332,Lindo apartamento pertinho da Praia do Recreio,10214925,Onayr,,Recreio dos Bandeirantes,-23.0230502,-43.48021079999999,Entire home/apt,1000.0,3,4,2024-01-02,0.11,5,362,0,
14464169,CASA FORTE / Barra da Tijuca,42333538,Marco,,Barra da Tijuca,-23.00131,-43.32498,Entire home/apt,,7,0,,,2,0,0,
1146465713108892814,Casa da Floresta 110M² Vista Mar Luxo  São Conrado,575062820,Vera Lucia,,São Conrado,-22.991359183220304,-43.25593750923872,Entire home/apt,350.0,3,7,2025-03-04,0.56,2,65,6,
1153943793400136516,Beira da praia em Copacabana!,479805868,Ubirajara,,Copacabana,-22.97801,-43.18959,Entire home/apt,117.0,1,29,2025-09-26,1.75,3,248,22,
1408781492469658879,Ap Rainha Elizabeth Copacabana,665090916,Carlos Felipe,,Copacabana,-22.98501061554629,-43.19078785255967,Entire home/apt,1500.0,1,1,2025-05-04,0.2,8,334,1,
1147830420518085959,Apartamento praia Olegário,548557433,Vitória,,Barra da Tijuca,-23.011090427621887,-43.3046726213468,Entire home/apt,472.0,2,8,2025-06-30,0.49,4,64,4,
2888711,Sugar Loaf View!,8206811,Veronica,,Laranjeiras,-22.92962,-43.18855,Entire home/apt,859.0,15,0,,,1,365,0,
1012989770680238525,alugo pra temporada no Recreio,543959324,Daniele,,Recreio dos Bandeirantes,-23.02862546413753,-43.47531504929066,Entire home/apt,720.0,1,0,,,1,365,0,
9693021,Rio de Janeiro-Copacabana entre Arpoador e Ipanema,50057473,Renato,,Copacabana,-22.9834,-43.19301,Private room,143.0,3,15,2019-11-18,0.13,2,307,0,
1317375994799744682,Quarto em cobertura c/ terraço 3,26660523,Laura,,Centro,-22.916452742618183,-43.18775461008261,Private room,250.0,1,0,,,2,365,0,
1338787513492938398,Apartamento Recreio,501218049,Ricardo,,Vargem Pequena,-22.983118570577854,-43.46304826287024,Entire home/apt,112.0,4,5,2025-04-30,0.64,1,268,5,
1052327569949297066,"Casa simples, mas aconchegante",136190656,Roberta,,Recreio dos Bandeirantes,-23.03004265654132,-43.485195972025394,Entire home/apt,348.0,4,0,,,1,87,0,
32367018,Sublim 3 bedrooms in front of Leme beach,91654021,Daniel,,Leme,-22.96173,-43.16631,Entire home/apt,827.0,3,5,2025-08-18,0.07,151,180,2,
46943117,"Apartamento  na Lapa ,  vibe Santa tersa!",54111616,Jonathan,,Santa Teresa,-22.91503,-43.18228,Entire home/apt,391.0,3,4,2025-05-04,0.18,1,179,3,
1324733499297397636,Portuguese,511269284,Maria Eugenia,,Copacabana,-22.96732020104525,-43.1832715465674,Entire home/apt,,2,0,,,2,0,0,
1332856717815737773,Studio charmoso com localização maravilhosa!,545436737,Michel,,Catete,-22.932563206266384,-43.17889868463658,Entire home/apt,280.0,1,3,2025-03-12,0.39,2,168,3,
740528503123145925,"12COPA| 2 quartos, acolhedor, 150m da praia",454830327,Clara,,Copacabana,-22.9653197,-43.1779192,Entire home/apt,445.0,2,11,2025-09-06,0.33,6,128,2,
1371797174869705730,Skylux Porto Maravilha luxúria,411047163,Thiago De,,Centro,-22.89965,-43.17908,Entire home/apt,228.0,2,2,2025-05-15,0.31,4,90,2,
974033333564290043,Loft Beachfront,535697473,Victor,,Copacabana,-22.9698692,-43.1838755,Entire home/apt,314.0,2,50,2025-08-18,2.0,3,144,14,
993687926047966830,Apto industrial: uma quadra da praia de Copacabana,202559834,Thiago,,Copacabana,-22.97628,-43.18902,Entire home/apt,595.0,1,144,2025-09-24,6.0,6,57,65,
1081314434392388416,Loft Cinelândia Rio de Janeiro,543438482,Érica,,Centro,-22.90856132684831,-43.17774306982756,Entire home/apt,142.0,1,51,2025-09-07,2.56,2,120,28,
1409405010329566592,Suíte de casal - Copacabana,241261239,Jéssica,,Copacabana,-22.9639018,-43.1780845,Private room,312.0,1,1,2025-05-04,0.2,1,89,1,
1102871350531557202,Mansão em Guaratiba,468836150,Karen Teotonio,,Guaratiba,-23.0073,-43.52308,Entire home/apt,11412.0,1,0,,,1,269,0,
